goalkeeper,goal_y,goal_z,outcome,match_date,pressure_context,competition,shooter,shooter_foot
Alisson,-1.918225029271706,0.5311966405723735,Goal,2023-12-15,normal,Champions League,Shooter 88,Right
Alisson,-2.2621277772265627,0.05020630533411923,Goal,2023-04-10,normal,Champions League,Shooter 130,Left
Alisson,1.3488670349366456,0.91052555828686,Goal,2023-10-04,normal,Champions League,Shooter 188,Left
Alisson,2.3511735166833247,2.655075488368041,Goal,2023-09-28,normal,Champions League,Shooter 135,Right
Alisson,-1.4664756155336005,0.8594125094363578,Goal,2023-11-25,normal,Champions League,Shooter 53,Left
Alisson,-2.1756864047360267,0.5428970254265326,Goal,2023-12-06,normal,Champions League,Shooter 81,Left
Alisson,-0.19908537385328917,1.965068079952688,Saved,2023-02-19,normal,Champions League,Shooter 146,Left
Alisson,-2.403607056574403,1.710468069170574,Saved,2023-02-13,high,Champions League,Shooter 190,Left
Alisson,0.10558107215495216,2.302208537440825,Goal,2023-08-01,normal,Champions League,Shooter 41,Right
Alisson,-3.958250794001012,0.37682731782866896,Goal,2023-01-15,normal,Champions League,Shooter 63,Right
Alisson,3.3892918256514752,1.8458997400433403,Saved,2023-03-22,normal,Champions League,Shooter 135,Right
Alisson,-3.830299204736317,2.0567742663269395,Goal,2023-11-24,normal,Champions League,Shooter 104,Left
Alisson,1.2547541737350159,1.6455333035968147,Saved,2023-02-04,normal,Champions League,Shooter 142,Right
Alisson,1.4139159257835805,2.3464052660247647,Goal,2023-10-10,normal,Champions League,Shooter 151,Right
Alisson,-1.4825809666101906,1.4229902651747972,Goal,2023-08-25,normal,Champions League,Shooter 170,Right
Alisson,2.5489473031893706,1.084411989122982,Goal,2023-03-03,normal,Champions League,Shooter 128,Left
Alisson,-3.2734068941430237,2.3564442072818124,Saved,2023-12-14,high,Champions League,Shooter 3,Right
Alisson,2.624496023528485,0.6162680692723406,Saved,2023-07-17,high,Champions League,Shooter 59,Left
Alisson,2.408242576724969,0.05775409992699359,Saved,2023-06-09,high,Champions League,Shooter 39,Left
Alisson,-1.3360329049193251,0.23743510270500365,Goal,2023-04-23,normal,Champions League,Shooter 87,Right
Alisson,3.1474835556512275,2.2525317791522514,Goal,2023-08-12,normal,Champions League,Shooter 68,Right
Alisson,-2.055662349206335,2.1073269881201355,Goal,2023-07-22,normal,Champions League,Shooter 139,Right
Alisson,2.186482773474535,0.16600147425587028,Goal,2023-08-28,high,Champions League,Shooter 187,Left
Alisson,2.2609381860689175,1.8655971304713646,Goal,2023-12-12,normal,Champions League,Shooter 39,Left
Alisson,-3.08935284269581,0.10099143390412428,Goal,2023-12-26,normal,Champions League,Shooter 99,Right
Alisson,-1.3776105233104072,0.4598059432312027,Missed,2023-09-09,high,Champions League,Shooter 140,Right
Alisson,-3.094790457899969,0.3107965214052682,Goal,2023-02-06,normal,Champions League,Shooter 152,Left
Alisson,-3.77534629346322,1.0338495555442062,Goal,2023-04-30,normal,Champions League,Shooter 112,Left
Alisson,-0.9022505832294536,2.268373072536262,Goal,2023-04-09,normal,Champions League,Shooter 169,Left
Alisson,-2.6813037804602295,0.15915221120698264,Goal,2023-06-10,normal,Champions League,Shooter 195,Right
Alisson,3.0290080905563403,2.00291101855897,Missed,2023-05-08,normal,Champions League,Shooter 51,Left
Alisson,-0.3987914355321627,2.354141992207203,Goal,2023-09-21,normal,Champions League,Shooter 61,Left
Alisson,-3.883577929415662,2.6651499546096336,Saved,2023-05-27,normal,Champions League,Shooter 6,Right
Alisson,-2.524117538549242,2.2893402975620463,Saved,2023-08-21,normal,Champions League,Shooter 160,Right
Alisson,-3.5474543663481333,0.49555312358793163,Goal,2023-06-10,normal,Champions League,Shooter 104,Left
Alisson,-2.208046810079785,0.31919563535358586,Goal,2023-10-07,high,Champions League,Shooter 17,Left
Ederson,-3.216109775813803,0.7203314283758772,Goal,2023-10-26,normal,Champions League,Shooter 13,Left
Ederson,-2.264596304823367,1.514750520759356,Goal,2023-11-09,normal,Champions League,Shooter 143,Left
Ederson,2.874007976459785,1.8119886236791005,Goal,2023-12-20,normal,Champions League,Shooter 125,Left
Ederson,-3.9002803360395975,2.5121144989870956,Saved,2023-11-10,normal,Champions League,Shooter 8,Right
